pseudocode_doc,pseudocode_id,target_src,implementation_status,test_traceability_status,direct_test_files
docs/pseudocode/__main__.md,__main__.py,src/dpost_v2/__main__.py,missing_implementation,missing_tests,
docs/pseudocode/application/contracts/context.md,application/contracts/context.py,src/dpost_v2/application/contracts/context.py,implemented,direct_module_tests_present,tests/dpost_v2/application/contracts/test_context.py|tests/dpost_v2/application/contracts/test_events.py|tests/dpost_v2/application/contracts/test_plugin_contracts.py|tests/dpost_v2/application/runtime/test_dpost_app.py|tests/dpost_v2/harness/test_factories.py|tests/dpost_v2/plugins/test_device_integration.py|tests/dpost_v2/plugins/test_device_template.py|tests/dpost_v2/plugins/test_discovery.py|tests/dpost_v2/plugins/test_host.py
docs/pseudocode/application/contracts/events.md,application/contracts/events.py,src/dpost_v2/application/contracts/events.py,implemented,direct_module_tests_present,tests/dpost_v2/application/contracts/test_events.py|tests/dpost_v2/application/contracts/test_ports.py
docs/pseudocode/application/contracts/plugin_contracts.md,application/contracts/plugin_contracts.py,src/dpost_v2/application/contracts/plugin_contracts.py,implemented,direct_module_tests_present,tests/dpost_v2/application/contracts/test_plugin_contracts.py|tests/dpost_v2/plugins/test_catalog.py|tests/dpost_v2/plugins/test_device_integration.py|tests/dpost_v2/plugins/test_device_template.py|tests/dpost_v2/plugins/test_discovery.py|tests/dpost_v2/plugins/test_host.py|tests/dpost_v2/plugins/test_pc_template.py|tests/dpost_v2/plugins/test_profile_selection.py
docs/pseudocode/application/contracts/ports.md,application/contracts/ports.py,src/dpost_v2/application/contracts/ports.py,implemented,direct_module_tests_present,tests/dpost_v2/application/contracts/test_ports.py|tests/dpost_v2/infrastructure/sync/test_kadi.py|tests/dpost_v2/infrastructure/sync/test_noop.py
docs/pseudocode/application/ingestion/engine.md,application/ingestion/engine.py,src/dpost_v2/application/ingestion/engine.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/test_engine.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py|tests/dpost_v2/application/runtime/test_dpost_app.py
docs/pseudocode/application/ingestion/models/candidate.md,application/ingestion/models/candidate.py,src/dpost_v2/application/ingestion/models/candidate.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/models/test_candidate.py|tests/dpost_v2/application/ingestion/stages/test_persist_post_persist.py|tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py
docs/pseudocode/application/ingestion/policies/error_handling.md,application/ingestion/policies/error_handling.py,src/dpost_v2/application/ingestion/policies/error_handling.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/policies/test_error_handling_and_failure_outcome.py
docs/pseudocode/application/ingestion/policies/failure_emitter.md,application/ingestion/policies/failure_emitter.py,src/dpost_v2/application/ingestion/policies/failure_emitter.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/policies/test_failure_emitters.py
docs/pseudocode/application/ingestion/policies/failure_outcome.md,application/ingestion/policies/failure_outcome.py,src/dpost_v2/application/ingestion/policies/failure_outcome.py,implemented,direct_module_tests_present,tests/dpost_v2/application/ingestion/policies/test_error_handling_and_failure_outcome.py|tests/dpost_v2/application/ingestion/policies/test_failure_emitters.py
