pseudocode_doc,pseudocode_id,lane,target_src,implementation_status,test_traceability_status,gap_severity,direct_test_count,direct_test_files
docs/pseudocode/__main__.md,__main__.py,Startup-Core,src/dpost_v2/__main__.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/test___main__.py
docs/pseudocode/application/contracts/context.md,application/contracts/context.py,Contracts-Core,src/dpost_v2/application/contracts/context.py,implemented,direct_module_tests_present,covered,10,tests/dpost_v2/application/contracts/test_context.py|tests/dpost_v2/application/contracts/test_events.py|tests/dpost_v2/application/contracts/test_plugin_contracts.py|tests/dpost_v2/application/runtime/test_dpost_app.py|tests/dpost_v2/harness/test_factories.py|tests/dpost_v2/plugins/test_device_integration.py|tests/dpost_v2/plugins/test_device_template.py|tests/dpost_v2/plugins/test_discovery.py|tests/dpost_v2/plugins/test_host.py|tests/dpost_v2/plugins/test_migration_coverage.py
docs/pseudocode/application/contracts/events.md,application/contracts/events.py,Contracts-Core,src/dpost_v2/application/contracts/events.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/contracts/test_events.py|tests/dpost_v2/application/contracts/test_ports.py
docs/pseudocode/application/contracts/plugin_contracts.md,application/contracts/plugin_contracts.py,Contracts-Core,src/dpost_v2/application/contracts/plugin_contracts.py,implemented,direct_module_tests_present,covered,9,tests/dpost_v2/application/contracts/test_plugin_contracts.py|tests/dpost_v2/plugins/test_catalog.py|tests/dpost_v2/plugins/test_device_integration.py|tests/dpost_v2/plugins/test_device_template.py|tests/dpost_v2/plugins/test_discovery.py|tests/dpost_v2/plugins/test_host.py|tests/dpost_v2/plugins/test_namespace_discovery.py|tests/dpost_v2/plugins/test_pc_template.py|tests/dpost_v2/plugins/test_profile_selection.py
docs/pseudocode/application/contracts/ports.md,application/contracts/ports.py,Contracts-Core,src/dpost_v2/application/contracts/ports.py,implemented,direct_module_tests_present,covered,4,tests/dpost_v2/application/contracts/test_ports.py|tests/dpost_v2/infrastructure/sync/test_adapter_integration.py|tests/dpost_v2/infrastructure/sync/test_kadi.py|tests/dpost_v2/infrastructure/sync/test_noop.py
docs/pseudocode/application/ingestion/engine.md,application/ingestion/engine.py,Processing-Kernel,src/dpost_v2/application/ingestion/engine.py,implemented,direct_module_tests_present,covered,3,tests/dpost_v2/application/ingestion/test_engine.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py|tests/dpost_v2/application/runtime/test_dpost_app.py
docs/pseudocode/application/ingestion/models/candidate.md,application/ingestion/models/candidate.py,Processing-Kernel,src/dpost_v2/application/ingestion/models/candidate.py,implemented,direct_module_tests_present,covered,3,tests/dpost_v2/application/ingestion/models/test_candidate.py|tests/dpost_v2/application/ingestion/stages/test_persist_post_persist.py|tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py
docs/pseudocode/application/ingestion/policies/error_handling.md,application/ingestion/policies/error_handling.py,Processing-Kernel,src/dpost_v2/application/ingestion/policies/error_handling.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/application/ingestion/policies/test_error_handling_and_failure_outcome.py
docs/pseudocode/application/ingestion/policies/failure_emitter.md,application/ingestion/policies/failure_emitter.py,Processing-Kernel,src/dpost_v2/application/ingestion/policies/failure_emitter.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/application/ingestion/policies/test_failure_emitters.py
docs/pseudocode/application/ingestion/policies/failure_outcome.md,application/ingestion/policies/failure_outcome.py,Processing-Kernel,src/dpost_v2/application/ingestion/policies/failure_outcome.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/ingestion/policies/test_error_handling_and_failure_outcome.py|tests/dpost_v2/application/ingestion/policies/test_failure_emitters.py
docs/pseudocode/application/ingestion/policies/force_path.md,application/ingestion/policies/force_path.py,Processing-Kernel,src/dpost_v2/application/ingestion/policies/force_path.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/application/ingestion/policies/test_force_path.py
docs/pseudocode/application/ingestion/policies/immediate_sync_error_emitter.md,application/ingestion/policies/immediate_sync_error_emitter.py,Processing-Kernel,src/dpost_v2/application/ingestion/policies/immediate_sync_error_emitter.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/application/ingestion/policies/test_failure_emitters.py
docs/pseudocode/application/ingestion/policies/modified_event_gate.md,application/ingestion/policies/modified_event_gate.py,Processing-Kernel,src/dpost_v2/application/ingestion/policies/modified_event_gate.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/application/ingestion/policies/test_modified_event_gate.py
docs/pseudocode/application/ingestion/policies/retry_planner.md,application/ingestion/policies/retry_planner.py,Processing-Kernel,src/dpost_v2/application/ingestion/policies/retry_planner.py,implemented,direct_module_tests_present,covered,1,tests/dpost_v2/application/ingestion/policies/test_retry_planner.py
docs/pseudocode/application/ingestion/processor_factory.md,application/ingestion/processor_factory.py,Processing-Kernel,src/dpost_v2/application/ingestion/processor_factory.py,implemented,direct_module_tests_present,covered,3,tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py|tests/dpost_v2/application/ingestion/test_processor_factory.py
docs/pseudocode/application/ingestion/runtime_services.md,application/ingestion/runtime_services.py,Processing-Kernel,src/dpost_v2/application/ingestion/runtime_services.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/ingestion/stages/test_persist_post_persist.py|tests/dpost_v2/application/ingestion/test_runtime_services.py
docs/pseudocode/application/ingestion/stages/persist.md,application/ingestion/stages/persist.py,Processing-Kernel,src/dpost_v2/application/ingestion/stages/persist.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/ingestion/stages/test_persist_post_persist.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
docs/pseudocode/application/ingestion/stages/pipeline.md,application/ingestion/stages/pipeline.py,Processing-Kernel,src/dpost_v2/application/ingestion/stages/pipeline.py,implemented,direct_module_tests_present,covered,5,tests/dpost_v2/application/ingestion/stages/test_persist_post_persist.py|tests/dpost_v2/application/ingestion/stages/test_pipeline.py|tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py|tests/dpost_v2/application/ingestion/test_engine.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
docs/pseudocode/application/ingestion/stages/post_persist.md,application/ingestion/stages/post_persist.py,Processing-Kernel,src/dpost_v2/application/ingestion/stages/post_persist.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/ingestion/stages/test_persist_post_persist.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
docs/pseudocode/application/ingestion/stages/resolve.md,application/ingestion/stages/resolve.py,Processing-Kernel,src/dpost_v2/application/ingestion/stages/resolve.py,implemented,direct_module_tests_present,covered,2,tests/dpost_v2/application/ingestion/stages/test_resolve_stabilize_route.py|tests/dpost_v2/application/ingestion/test_pipeline_integration.py
