Timestamp,EventType,Name,FullPath,OldFullPath,Extension,Length,CreationTime,LastWriteTime
"2026-01-14T18:38:54.7960096+01:00","Created","JFI\ERM-hioki_test","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test","","",,"",""
"2026-01-14T18:38:54.8272574+01:00","Changed","JFI","C:\Users\Hioki\Desktop\Data\IPAT\JFI","","",,"",""
"2026-01-14T18:38:55.0459990+01:00","Created","JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","",".csv",530,"2026-01-14T18:38:54.6241361+01:00","2026-01-14T18:38:53.5596688+01:00"
"2026-01-14T18:38:55.0459990+01:00","Changed","JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","",".csv",530,"2026-01-14T18:38:54.6241361+01:00","2026-01-14T18:38:53.5596688+01:00"
"2026-01-14T18:38:55.2803683+01:00","Changed","JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","",".csv",530,"2026-01-14T18:38:54.6241361+01:00","2026-01-14T18:38:53.5596688+01:00"
"2026-01-14T18:38:55.2803683+01:00","Changed","JFI\ERM-hioki_test","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test","","",,"",""
"2026-01-14T18:39:17.0316141+01:00","Created","JFI\ERM-hioki_test\ERM-hioki_test-01.csv","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test\ERM-hioki_test-01.csv","",".csv",2954,"2026-01-14T18:39:15.8109050+01:00","2026-01-14T18:39:15.8109050+01:00"
"2026-01-14T18:39:17.0628653+01:00","Changed","JFI\ERM-hioki_test","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test","","",,"",""
"2026-01-14T18:39:17.2972316+01:00","Changed","JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","",".csv",530,"2026-01-14T18:38:54.6241361+01:00","2026-01-14T18:38:53.5596688+01:00"
"2026-01-14T18:39:17.3753541+01:00","Changed","JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","",".csv",530,"2026-01-14T18:38:54.6241361+01:00","2026-01-14T18:38:53.5596688+01:00"
"2026-01-14T18:39:17.5940943+01:00","Changed","JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test\ERM-hioki_test-cc.csv","",".csv",530,"2026-01-14T18:38:54.6241361+01:00","2026-01-14T18:38:53.5596688+01:00"
"2026-01-14T18:39:22.7023375+01:00","Created","JFI\ERM-hioki_test\ERM-hioki_test-results.csv","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test\ERM-hioki_test-results.csv","",".csv",888,"2026-01-14T18:39:22.6248330+01:00","2026-01-14T18:39:21.5002082+01:00"
"2026-01-14T18:39:22.7023375+01:00","Changed","JFI\ERM-hioki_test\ERM-hioki_test-results.csv","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test\ERM-hioki_test-results.csv","",".csv",888,"2026-01-14T18:39:22.6248330+01:00","2026-01-14T18:39:21.5002082+01:00"
"2026-01-14T18:39:22.7424954+01:00","Changed","JFI\ERM-hioki_test\ERM-hioki_test-results.csv","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test\ERM-hioki_test-results.csv","",".csv",888,"2026-01-14T18:39:22.6248330+01:00","2026-01-14T18:39:21.5002082+01:00"
"2026-01-14T18:39:23.6074107+01:00","Changed","JFI\ERM-hioki_test","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test","","",,"",""
"2026-01-14T18:40:07.0254469+01:00","Changed","JFI\ERM-hioki_test\ERM-hioki_test-results.csv","C:\Users\Hioki\Desktop\Data\IPAT\JFI\ERM-hioki_test\ERM-hioki_test-results.csv","",".csv",888,"2026-01-14T18:39:22.6248330+01:00","2026-01-14T18:39:21.5002082+01:00"
