Timestamp,EventType,Name,FullPath,OldFullPath,Extension,Length,CreationTime,LastWriteTime
"2026-02-16T12:02:33.9750198+01:00","Created","IPAT\LGR\UTM-VCpure_260123_r2r_T85","C:\Users\messrechner\Desktop\Data\IPAT\LGR\UTM-VCpure_260123_r2r_T85","","",,"",""
"2026-02-16T12:02:34.0632431+01:00","Created","01_Exceptions\LGr-ipat-VCpure_260123_r2r_T85-01.xlsx","C:\Users\messrechner\Desktop\Data\01_Exceptions\LGr-ipat-VCpure_260123_r2r_T85-01.xlsx","",".xlsx",36745016,"2026-02-16T12:02:33.2830520+01:00","2026-02-16T12:02:32.9992078+01:00"
"2026-02-16T12:02:34.2836917+01:00","Changed","01_Exceptions","C:\Users\messrechner\Desktop\Data\01_Exceptions","","",,"",""
"2026-02-16T12:02:34.2855871+01:00","Changed","IPAT\LGR","C:\Users\messrechner\Desktop\Data\IPAT\LGR","","",,"",""
"2026-02-16T12:02:38.2135828+01:00","Created","01_Exceptions\LGr-ipat-VCpure_260123_r2r_T85-02.xlsx","C:\Users\messrechner\Desktop\Data\01_Exceptions\LGr-ipat-VCpure_260123_r2r_T85-02.xlsx","",".xlsx",7722236,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T12:02:00.5866263+01:00"
"2026-02-16T12:02:38.2174746+01:00","Changed","01_Exceptions","C:\Users\messrechner\Desktop\Data\01_Exceptions","","",,"",""
"2026-02-16T12:03:43.4681319+01:00","Created","01_Exceptions\~$LGr-ipat-VCpure_260123_r2r_T85-01.xlsx","C:\Users\messrechner\Desktop\Data\01_Exceptions\~$LGr-ipat-VCpure_260123_r2r_T85-01.xlsx","","",,"",""
"2026-02-16T12:03:43.4839596+01:00","Changed","01_Exceptions","C:\Users\messrechner\Desktop\Data\01_Exceptions","","",,"",""
"2026-02-16T12:03:43.4875869+01:00","Changed","01_Exceptions\~$LGr-ipat-VCpure_260123_r2r_T85-01.xlsx","C:\Users\messrechner\Desktop\Data\01_Exceptions\~$LGr-ipat-VCpure_260123_r2r_T85-01.xlsx","","",,"",""
"2026-02-16T12:04:14.6425679+01:00","Deleted","01_Exceptions\~$LGr-ipat-VCpure_260123_r2r_T85-01.xlsx","C:\Users\messrechner\Desktop\Data\01_Exceptions\~$LGr-ipat-VCpure_260123_r2r_T85-01.xlsx","","",,"",""
"2026-02-16T12:04:15.6724201+01:00","Changed","01_Exceptions","C:\Users\messrechner\Desktop\Data\01_Exceptions","","",,"",""
